编号,地区,性别,受教育程度,观点,年龄,月收入,月支出
222,C,女,高,支持,48,3276,2569
223,C,女,中,不支持,47,2511,1992
224,A,女,中,支持,45,4022,2928
225,A,女,高,不支持,33,2805,2335
226,C,男,低,不支持,45,1474,2121
227,B,女,高,不支持,31,2566,1906
228,C,女,中,支持,51,2242,2249
229,C,男,低,不支持,36,3438,2590
230,B,男,中,支持,43,1886,1692
231,A,男,中,不支持,54,2844,2320
232,A,男,低,不支持,29,3357,2001
233,A,男,低,不支持,37,3415,2286
234,B,女,高,不支持,34,2882,2419
235,D,女,中,支持,38,2625,1566
236,A,男,低,不支持,47,1815,1808
237,D,男,中,支持,50,3542,1370
238,B,男,高,支持,37,2818,3385
239,B,女,高,不支持,31,2867,2508
240,B,女,中,支持,37,2077,1932
241,B,女,低,不支持,31,3920,1979
242,C,男,中,支持,44,3593,2872
243,D,女,中,不支持,44,4390,1826
244,C,男,高,不支持,33,878,2978
245,C,女,高,不支持,45,3625,1824
246,D,女,低,支持,37,3861,2065
247,A,女,中,支持,48,3437,2082
248,A,男,高,不支持,34,3365,2692
249,B,女,低,支持,41,3040,1887
250,C,女,高,不支持,32,3165,1956
251,D,女,低,不支持,68,3767,1862
252,B,男,低,支持,34,2278,2471
253,D,男,高,支持,44,1191,2209
254,C,男,高,不支持,39,3745,2062
255,C,女,中,支持,19,4728,2544
256,B,男,中,不支持,33,4131,1401
257,C,男,高,支持,52,2797,2481
258,B,女,中,支持,49,4280,2175
259,B,女,中,支持,63,3879,1530
260,D,男,中,支持,30,2293,2117
261,C,男,低,支持,65,2251,2110
262,B,男,低,支持,57,3832,1827
263,D,男,中,不支持,22,2786,1685
264,B,男,低,不支持,36,3212,2158
265,C,女,高,支持,36,3706,2174
266,B,女,中,支持,41,2728,2735
267,D,女,低,不支持,59,3343,2420
268,C,男,高,支持,51,5346,1626
269,D,男,中,支持,49,2789,1655
270,C,女,高,支持,29,3172,2541
271,C,女,中,支持,43,3867,2719
272,D,男,低,不支持,59,1554,2884
273,D,女,高,支持,42,1768,1409
274,D,男,低,不支持,32,4312,1588
275,A,女,高,支持,41,977,1548
276,C,女,中,不支持,43,3084,2371
277,A,女,高,支持,41,2163,2293
278,A,女,中,支持,23,1400,2164
279,D,男,中,支持,35,4724,2226
280,C,女,高,不支持,60,5130,1498
281,C,男,中,不支持,43,2878,1614
282,C,女,低,不支持,39,3149,2640
283,A,女,低,支持,39,3496,1626
284,B,男,高,支持,41,2746,2419
285,B,男,高,不支持,35,3604,1568
286,C,女,中,支持,55,2782,2038
287,D,男,高,不支持,38,4263,2234
288,B,女,低,支持,37,3431,1712
289,D,女,高,不支持,44,2328,2338
290,D,女,高,支持,34,3194,2362
291,B,男,中,支持,27,3746,2772
292,A,男,中,不支持,44,4079,2655
293,B,男,中,支持,43,3414,2044
294,C,女,高,不支持,21,2800,1433
295,A,男,中,不支持,60,2636,1978
296,C,男,中,不支持,39,2317,1666
297,D,女,中,支持,34,3623,2373
298,C,男,高,支持,44,2688,2217
299,D,男,低,支持,37,2359,1099
300,B,女,高,支持,50,3365,2133
301,B,女,中,支持,29,2343,1508
302,B,女,低,支持,39,1895,2142
303,C,男,中,支持,43,3801,2218
304,C,女,中,支持,47,1850,2189
305,B,男,高,支持,29,3852,2248
306,B,男,中,不支持,32,2139,1668
307,C,女,中,支持,44,3227,1787
308,D,男,中,支持,40,2738,1551
309,C,男,低,不支持,51,3920,2325
310,B,男,高,支持,41,5548,2132
311,D,男,中,不支持,63,2769,1585
312,C,男,中,支持,51,4060,1818
313,A,女,中,不支持,44,3554,1731
314,C,女,高,不支持,43,1347,2484
315,B,男,中,不支持,47,1594,1951
316,A,女,中,支持,29,4975,1480
317,B,男,高,不支持,33,4209,1966
318,B,男,高,支持,35,3946,2256
319,C,男,低,不支持,36,3382,2675
320,B,男,中,不支持,63,2598,1833
321,A,女,低,支持,42,2444,1973
322,A,女,高,不支持,29,3268,2031
323,C,男,高,支持,36,3021,2145
324,C,男,低,不支持,41,3473,2148
325,D,男,低,不支持,40,2387,2257
326,A,女,低,不支持,51,2548,2432
327,B,女,低,不支持,38,2309,2554
328,C,男,低,支持,46,2799,1677
329,C,男,中,支持,59,3525,1839
330,B,男,高,支持,32,1405,1510
331,B,男,低,不支持,64,3777,1699
332,B,女,中,支持,51,2098,2675
333,A,男,高,不支持,42,3960,2782
334,B,女,中,不支持,28,2967,2260
335,B,男,低,支持,46,4205,2041
336,C,男,中,支持,38,2192,2420
337,B,男,中,支持,48,3136,1536
338,D,女,低,不支持,55,1992,2358
339,C,女,中,不支持,52,3686,1949
340,C,男,高,支持,41,1418,1838
341,B,女,高,支持,55,2328,2354
342,D,女,低,支持,44,4353,2142
343,D,女,低,不支持,50,2078,2200
344,B,女,中,支持,48,4318,2020
345,C,女,中,不支持,39,3009,2050
346,A,男,高,支持,32,1768,1464
347,A,男,低,不支持,10,3172,1979
348,D,女,高,不支持,52,2878,1735
349,D,男,中,支持,51,1753,2060
350,C,女,低,不支持,48,1529,2135
351,B,男,高,支持,51,4047,2033
352,A,女,中,不支持,41,2049,2488
353,C,男,中,支持,30,3778,1375
354,B,男,中,不支持,38,4919,2768
355,A,男,中,不支持,37,3371,2342
356,C,女,低,不支持,36,2388,2300
357,B,女,中,支持,30,4095,1640
358,C,男,中,不支持,54,1972,1916
359,B,女,高,不支持,59,2219,1702
360,B,女,中,支持,47,4178,2077
361,B,女,低,不支持,40,3932,1811
362,B,女,中,不支持,38,2023,2089
363,D,女,中,支持,43,3519,1221
364,C,女,高,支持,38,4487,2110
365,A,女,中,支持,34,3946,1913
366,C,女,中,不支持,25,3982,1642
367,B,男,高,不支持,35,2528,2106
368,D,男,高,不支持,43,1909,2798
369,C,男,中,不支持,52,1996,2966
370,C,男,低,支持,55,3800,2067
371,C,男,中,不支持,52,3611,1635
372,B,女,中,支持,34,1699,2130
373,A,女,低,不支持,49,3361,2633
374,C,男,中,不支持,46,2226,1920
375,D,男,低,支持,39,3160,2720
376,C,男,中,支持,45,3520,2459
377,B,女,中,不支持,27,2075,2058
378,C,男,低,不支持,20,2469,2649
379,B,女,低,支持,38,2744,2429
380,B,女,中,支持,32,2452,2386
381,B,男,中,不支持,37,2639,2087
382,D,女,低,支持,32,3471,2113
383,D,女,中,支持,56,3512,1652
384,D,女,中,不支持,41,2937,2568
385,B,女,中,支持,16,1472,1498
386,A,女,高,不支持,38,2906,1562
387,D,女,中,不支持,35,2713,1883
388,A,男,中,不支持,28,3636,1646
389,B,女,中,不支持,31,3677,2591
390,B,男,高,支持,44,2925,2440
391,D,女,中,不支持,48,2867,2104
392,D,男,中,不支持,39,3001,1985
393,C,女,低,不支持,40,4226,2037
394,C,男,高,支持,28,3005,2477
395,A,男,低,不支持,36,3115,2418
396,B,男,中,支持,43,1283,1748
397,D,女,中,不支持,29,3392,2020
398,D,男,中,支持,33,2932,1348
399,D,男,中,不支持,21,3296,2525
400,D,男,高,不支持,49,2793,2106
401,B,女,中,不支持,24,4108,1515
402,C,女,低,不支持,46,2639,1518
403,C,男,中,不支持,39,3080,2298
404,B,女,低,不支持,28,2721,2153
405,D,女,高,不支持,39,3294,2377
406,A,女,高,支持,28,2261,2227
407,C,女,高,支持,40,2210,2007
408,B,女,低,不支持,28,2835,2380
409,D,男,中,支持,35,2262,1673
410,A,女,低,支持,46,1488,1966
411,D,男,中,不支持,47,1856,1165
412,C,女,中,支持,59,1743,2109
413,C,男,中,不支持,37,1996,1810
414,C,女,中,不支持,61,3978,2122
415,B,男,高,支持,28,920,1984
416,A,男,低,不支持,39,3316,2235
417,B,女,高,不支持,43,2822,1951
418,C,男,低,支持,50,2824,1715
419,D,女,中,不支持,47,3597,2624
420,B,女,低,支持,35,4042,2655
421,D,男,中,不支持,43,3063,1829
422,C,女,中,不支持,28,2024,1719
423,B,女,中,支持,47,2174,1843
424,B,男,低,支持,44,2955,2070
425,C,男,低,不支持,42,2710,1201
426,D,女,高,支持,19,1338,1921
427,D,女,中,不支持,53,3879,1645
428,A,男,低,不支持,52,3499,2147
429,C,女,中,支持,42,4068,1551
430,B,女,低,不支持,38,3175,2878
431,C,女,中,不支持,36,2807,1998
432,D,男,中,不支持,54,3934,1450
433,A,男,中,不支持,43,1575,2207
434,D,男,低,支持,16,3673,1530
435,A,女,低,不支持,43,3777,1985
436,C,男,低,不支持,36,3648,1594
437,D,女,低,不支持,49,3670,2485
438,C,女,中,支持,35,2260,1770
439,A,女,中,支持,37,2677,2231
440,D,男,高,不支持,52,2558,1860
441,A,女,低,支持,39,2514,1607
442,B,男,低,不支持,52,1247,1337
443,C,男,中,不支持,40,4900,1628
444,D,女,低,支持,29,2484,2492
445,B,男,高,不支持,48,3078,1464
446,C,女,高,不支持,43,3804,1979
447,A,女,中,支持,40,3669,2286
448,A,男,中,不支持,47,2528,2195
449,A,男,高,支持,59,4086,2396
450,B,男,中,支持,35,3583,2209
451,B,女,中,支持,46,1925,2635
452,A,女,中,支持,51,2785,2162
453,B,男,低,不支持,59,2814,1731
454,A,女,中,支持,42,3766,1826
455,A,男,中,不支持,50,2345,2571
456,B,女,高,支持,27,1862,2375
457,D,女,低,不支持,61,2117,2239
458,C,女,低,不支持,52,2033,1747
459,A,女,中,支持,37,1406,1292
460,B,男,高,不支持,35,1741,2685
461,A,男,中,不支持,38,1615,1818
462,C,女,高,不支持,49,2844,2226
463,D,女,低,支持,30,4318,2603
464,D,男,高,不支持,26,2834,2053
465,D,男,中,不支持,25,5296,2003
466,C,男,中,不支持,42,3442,1867
467,C,男,高,支持,49,3795,1976
468,C,男,中,支持,57,2166,1767
469,B,女,低,不支持,45,2666,1599
470,C,女,高,支持,35,2441,1138
471,B,男,中,不支持,41,3192,2237
472,C,男,中,支持,44,2190,1845
473,D,女,低,支持,46,2838,1963
474,C,男,高,不支持,35,4989,1807
475,C,男,中,不支持,40,4295,1541
476,D,女,低,不支持,62,1763,2020
477,C,女,中,不支持,48,3018,2220
478,A,男,中,不支持,36,2571,2394
479,D,女,中,支持,31,1969,2272
480,C,男,中,不支持,25,2605,1494
481,C,女,高,不支持,24,3793,1506
482,C,男,低,支持,37,1867,2110
483,A,女,中,支持,32,2200,2504
484,D,女,高,不支持,25,2252,1630
485,C,女,高,不支持,49,3582,2185
486,C,女,高,支持,33,2739,2540
487,C,男,中,支持,34,2327,1832
488,B,女,中,不支持,42,2010,2086
489,C,男,中,不支持,52,3420,1448
490,B,男,低,支持,23,3511,2138
491,A,男,低,支持,38,2819,2251
492,B,女,中,不支持,36,4147,1587
493,A,男,中,支持,20,2566,1364
494,C,女,中,不支持,47,2875,1513
495,D,男,中,不支持,18,4333,2268
496,C,女,高,不支持,37,2610,1373
497,A,女,高,不支持,53,3535,1388
498,D,男,中,不支持,36,2810,1927
499,A,男,中,不支持,42,2779,1457
500,B,男,高,不支持,22,2836,1831
501,C,女,中,不支持,46,3050,1327
502,C,女,高,不支持,53,3414,2145
503,B,男,中,支持,45,2753,1500
504,B,男,中,支持,35,3635,3230
505,A,男,低,不支持,33,3460,1620
506,B,女,中,支持,43,2528,2318
507,C,男,中,不支持,31,3225,2305
508,C,男,中,不支持,30,3237,1250
509,B,女,中,支持,42,3867,1693
510,A,男,高,支持,29,1996,1595
511,C,男,高,支持,59,2802,2232
512,C,女,中,不支持,39,2185,2796
513,A,男,低,支持,44,2429,2220
514,D,男,低,支持,44,3304,1657
515,B,男,低,支持,41,3475,1713
516,B,男,中,支持,49,3715,2629
517,C,女,高,支持,48,2879,1931
518,B,女,中,不支持,46,3377,2279
519,D,女,高,不支持,55,2124,2191
520,A,女,低,不支持,35,4464,2042
521,D,男,中,不支持,39,2889,2558
522,B,男,低,不支持,46,2916,1498
523,A,男,中,不支持,43,1232,2099
524,B,女,中,不支持,46,3369,2636
525,C,男,高,支持,32,3219,2449
526,C,女,中,支持,44,4100,2375
527,D,男,高,支持,37,3041,2135
528,D,女,中,不支持,41,2099,2598
529,B,女,高,支持,72,3248,2621
530,C,男,中,不支持,35,2462,1355
531,C,女,中,不支持,44,3550,1762
532,B,男,中,不支持,38,2009,2751
533,C,女,低,不支持,24,2296,2098
534,C,女,高,不支持,46,2294,1764
535,B,男,低,支持,43,3035,2415
536,A,女,中,支持,55,1914,2024
537,A,男,低,不支持,20,2452,1806
538,B,女,中,支持,27,1329,2581
539,A,女,低,支持,49,2523,2462
540,D,女,高,支持,34,3146,1725
541,C,男,低,支持,23,3429,1745
542,C,男,中,支持,44,1114,1707
543,C,女,中,不支持,26,3386,2252
544,A,女,高,不支持,39,2644,1736
545,B,男,中,不支持,20,3282,2034
546,C,女,中,不支持,50,3190,1881
547,D,男,中,不支持,38,3505,1787
548,A,男,中,不支持,31,3142,1976
549,B,女,中,支持,45,2266,2222
550,B,男,低,支持,41,2859,1929
551,B,男,低,支持,44,2871,1835
552,B,男,低,支持,58,4634,1885
553,A,男,高,不支持,27,3806,2115
554,C,男,中,不支持,63,2693,2374
555,B,女,低,不支持,30,2832,2142
556,A,男,中,不支持,45,4384,1875
557,B,男,中,支持,35,3009,2114
558,D,男,中,支持,30,2732,2080
559,C,女,中,不支持,41,3242,2161
560,A,男,中,支持,37,3431,2107
561,B,女,高,不支持,22,3699,2345
562,C,女,低,支持,49,2252,1822
563,C,女,中,支持,31,4230,1853
564,C,男,中,不支持,49,2345,2090
565,B,女,中,不支持,39,3049,2351
566,B,男,低,支持,53,1439,1582
567,A,女,中,不支持,47,2425,2348
568,B,男,中,支持,33,3505,1348
569,C,男,低,不支持,40,3742,1770
570,C,女,中,不支持,55,1922,2416
571,A,女,低,不支持,23,2969,1978
572,B,男,高,不支持,27,1206,1672
573,C,女,低,不支持,44,4215,2048
574,B,男,中,支持,35,1253,2214
575,D,男,中,支持,32,3425,2542
576,A,男,中,不支持,55,3219,1803
577,B,男,中,支持,29,2808,2326
578,B,男,高,不支持,31,2038,1595
579,B,女,中,不支持,29,3249,2644
580,B,男,低,支持,33,4103,1964
581,B,男,低,支持,51,743,1449
582,A,女,中,支持,18,2572,2619
583,C,男,低,支持,43,3523,2264
584,B,男,中,不支持,43,2826,2498
585,B,女,高,不支持,29,2928,2041
586,D,男,高,不支持,44,4171,1797
587,D,男,低,不支持,49,3737,2141
588,B,男,高,支持,15,1658,1955
589,A,女,中,支持,51,3992,2697
590,A,男,中,不支持,50,3513,1871
591,B,男,低,支持,30,2941,1695
592,B,男,中,支持,24,2872,1746
593,B,女,高,不支持,45,4085,1634
594,C,女,高,不支持,59,2113,2179
595,C,女,中,支持,35,2529,1597
596,B,女,中,不支持,50,2772,2161
597,B,男,高,支持,39,4385,2086
598,A,男,中,支持,43,3577,1661
599,A,男,低,不支持,28,2278,2246
600,B,女,低,不支持,50,2790,1931
601,B,男,高,不支持,45,4041,2145
602,B,女,低,不支持,42,4168,2675
603,B,女,中,不支持,44,2660,2249
604,A,女,中,支持,53,2307,1868
605,C,男,低,不支持,44,3063,847
606,C,女,高,支持,50,4295,1956
607,B,女,低,支持,53,2690,2054
608,C,男,中,支持,39,3117,2484
609,A,女,高,不支持,40,1295,2260
610,D,女,中,支持,32,2177,1855
611,A,女,低,不支持,35,2354,2459
612,B,女,低,支持,42,3710,1976
613,C,男,低,支持,47,3156,1714
614,B,女,中,支持,37,2786,1723
615,C,男,中,不支持,42,3464,1875
616,D,男,中,支持,29,4171,2444
617,D,女,高,支持,31,1988,1991
618,C,男,高,不支持,43,3708,2069
619,A,男,低,支持,43,2574,881
620,B,女,高,支持,49,3375,2069
621,B,女,高,不支持,36,2978,2389
622,D,女,低,不支持,48,1691,2635
623,B,女,中,不支持,57,894,1759
624,B,女,低,不支持,41,3038,2342
625,C,男,中,不支持,33,2891,2648
626,A,男,中,支持,46,3012,2626
627,C,女,高,不支持,52,1927,2450
628,C,女,中,支持,48,3582,2753
629,C,男,低,不支持,60,4251,2291
630,B,女,低,不支持,52,4138,2331
631,D,女,低,支持,51,2644,2290
632,B,女,中,不支持,46,2937,2031
633,C,女,低,支持,36,3207,2367
634,D,女,中,支持,49,3023,2840
635,D,女,低,不支持,43,2723,2046
636,C,男,中,支持,47,2288,1635
637,C,女,低,不支持,34,3159,2199
638,B,女,中,支持,46,4104,1608
639,B,女,高,支持,34,3017,1954
640,B,女,高,不支持,28,1854,2188
641,A,女,中,不支持,41,2432,2020
642,B,女,低,不支持,47,3234,1911
643,D,女,高,支持,43,3623,2272
644,C,男,高,支持,23,1772,1840
645,D,男,中,不支持,27,4641,2621
646,C,女,低,不支持,38,2252,2410
647,A,男,中,支持,49,2525,1743
648,D,女,高,不支持,32,4115,2447
649,D,男,中,支持,45,1624,2761
650,D,男,低,支持,38,2759,2324
651,D,男,高,不支持,47,3420,2064
652,A,男,低,支持,33,1541,2598
653,A,男,中,支持,38,3968,1971
654,B,女,中,支持,41,1505,2117
655,C,男,中,支持,22,3569,2206
656,B,女,高,支持,32,3593,1633
657,A,女,中,支持,41,3243,2672
658,D,男,高,支持,31,3182,2318
659,A,女,中,不支持,37,1994,2760
660,B,女,中,支持,49,4341,2918
661,B,女,中,不支持,38,1625,2034
662,C,男,低,支持,49,3407,2614
663,D,女,低,不支持,44,2286,1898
664,A,女,中,不支持,47,5451,1939
665,D,女,中,不支持,49,2853,2390
666,B,男,中,不支持,47,3852,2195
667,C,女,中,不支持,49,3161,1983
668,C,男,中,不支持,22,4415,1419
669,B,女,低,支持,55,2104,2091
670,A,女,中,不支持,37,3416,1743
671,B,女,中,支持,47,2936,1704
672,D,女,中,不支持,51,4795,2883
673,B,男,低,不支持,39,1956,1578
674,D,男,高,支持,31,2451,2059
675,C,男,低,支持,54,2851,2269
676,B,男,中,不支持,25,1323,2249
677,B,女,中,不支持,38,3173,2012
678,B,男,中,不支持,29,2291,1777
679,B,男,低,支持,26,3082,1958
680,D,女,低,支持,42,3533,2278
681,C,男,高,支持,38,3359,1065
682,B,女,低,支持,43,3551,1435
683,A,女,低,支持,48,3888,1472
684,C,女,高,不支持,37,2616,1437
685,B,男,低,不支持,31,2395,1860
686,D,女,中,支持,45,2674,2297
687,C,女,中,不支持,63,3169,2106
688,D,女,中,不支持,49,3865,1329
689,A,女,中,不支持,50,2148,2096
690,B,女,低,不支持,39,3453,1732
691,B,男,中,不支持,26,2326,1812
692,A,男,低,不支持,35,2631,1488
693,A,女,中,不支持,35,1749,2001
694,C,女,高,不支持,38,3364,1276
695,A,女,低,支持,25,2957,2026
696,B,男,中,支持,44,4465,1832
697,A,女,高,不支持,47,4727,1696
698,B,女,高,支持,35,2973,2473
699,A,男,高,不支持,46,2559,2050
700,B,女,中,支持,42,2293,1157
701,B,男,高,不支持,35,3553,1824
702,B,女,低,不支持,32,2304,2627
703,C,女,高,不支持,50,4727,2301
704,C,女,低,支持,43,2447,1817
705,C,男,中,不支持,41,3380,1662
706,D,女,低,不支持,27,2811,2253
707,B,男,高,支持,55,2706,2498
708,D,女,高,支持,35,2855,2348
709,B,女,高,支持,25,2730,2104
710,A,女,中,支持,46,1889,2573
711,D,男,中,不支持,52,4353,1064
712,A,男,高,不支持,48,2988,2093
713,C,男,高,不支持,38,3835,2088
714,B,男,中,支持,44,4798,2354
